Id,CurrentPrice,OriginalPrice,Source,Sku,Brand,Category,Title,Model,Options,Size,Groupset
118984766,1000,1000,BikeExchange,???,Specialized,road-bike,Specialized Stump Jumper Hardtail Pro WC,,XL / White/Graphite,,
119022542,1700,1700,BikeExchange,???,Smart Motion,road-bike,Smart Motion X City,,One Size / Red,,
118964085,2000,2000,BikeExchange,???,Cube,road-bike,Cube Attain SL,,Large / Black/Grey / 56cm,,Shimano 105
119043788,1900,1900,BikeExchange,???,Bianchi,road-bike,Bianchi Infinito CV,,,50cm,Campagnolo Athena
118668115,3950,4200,BikeExchange,???,Specialized,road-bike,Diverge Comp E5,,Large / Silver / 58cm,,SRAM Apex
116327167,3999,3999,BikeExchange,???,Colnago,road-bike,Colnago V2-R 54S 2017 Road Bike,,Medium / Red / 54cm,,Shimano Ultegra Di2
119022529,3999,3999,BikeExchange,???,Mavic,road-bike,Mavic Comete Front Disc Track Wheel,,Black / Rear,,
119076183,3499,3499,BikeExchange,???,Focus,road-bike,Focus Planet2 5.9 Medium 2022,,Medium / Grey,,
119034731,3599,3599,BikeExchange,???,Focus,road-bike,Focus Jarifa,,XL / Black,,
119000542,2900,2900,BikeExchange,???,Scott,road-bike,Mint condition Scott Ransom 920,,,Medium,
119034586,3000,3000,BikeExchange,???,Thorn,road-bike,Women's Thorn Raven Tour,,,Small,Rohloff E-14
118841797,1995,1995,BikeExchange,???,Cinelli,road-bike,Cinelli Unica Road Bike,,Medium / Black / 54cm,,Campagnolo Centaur
119058922,6000,6000,BikeExchange,???,Felt,road-bike,2013 Felt AR1 XL 61,,XL / Black Carbon UD / 61cm,,Shimano Dura Ace
119035024,400,400,BikeExchange,???,Trek,road-bike,Trek 1500 SLR Road Bike,,,52cm,Shimano 105
119059261,2400,2400,BikeExchange,???,Cervelo,road-bike,Lightest aero frame in the world at the time of release with internal cabling.,,,M/L,Shimano Dura Ace
118996556,1200,1200,BikeExchange,???,Giant,road-bike,Giant Anthem (Liv) Dual Suspension MTB,,,Small,
117894430,79,79,BikeExchange,???,100%,road-bike,RARE RAPHA PUBLICATION: KINGS OF PAIN. Signed by Rapha founder.,,,,
118879921,5000,7000,BikeExchange,???,Bianchi,road-bike,Impulso Pro - Ekar 1x13PS (Celeste) - Demo,,Small / Light Blue / 52cm,,Campagnolo Ekar
119046851,2699,2699,BikeExchange,???,Gazelle,road-bike,Gazelle Grenoble C7,,57cm / Black,,
119112913,1899,1899,BikeExchange,???,Gazelle,road-bike,Gazelle Grenoble C7,,57cm / Black,,
118993995,2500,3800,BikeExchange,???,Rever Bikes,road-bike,Rever Turbo - demo model,,One Size / Sand,,
118970409,5800,5800,BikeExchange,???,Trek,road-bike,2023 Trek Emonda SL7 carbon road bike Ultegra 12 speed,,Medium / All Black / 54cm,,Shimano Ultegra Di2 12 Speed
119071325,3300,3300,BikeExchange,???,Giant,road-bike,Giant Reign SX 29 2020 - USED,,,L/XL,
119013567,1999,1999,BikeExchange,???,Fuji,road-bike,Fuji Supreme Two.1 50cm 2015,,Small / White / 50cm,,
118703737,5899,5899,BikeExchange,???,Scott,road-bike,Addict 20 (Green),,"Medium / Green / -, Large / Green / -",,Shimano 105
119046732,2400,2400,BikeExchange,???,Scott,road-bike,2022 Scott Addict RC Disc - Medium,,Medium / Blue / -,,Shimano Ultegra
118916586,1299,1299,BikeExchange,???,Giant,road-bike,Giant Trinity 0 Small 2011,,Small / Blue / 51cm,,Shimano Ultegra
116826391,150,150,BikeExchange,???,Trek,road-bike,Trek MT220 MT 220 Girl's Bike 24 (Precaliber 24),,,,
118996358,1199,1199,BikeExchange,???,Gazelle,road-bike,European Gazelle C7 E-Bike inc Pannier,,,"27.5"" Wheel",
119052286,2999,2999,BikeExchange,???,Bombtrack,road-bike,Bombtrack Hook EXT-C,,,Large,SRAM Apex
119046733,1400,1400,BikeExchange,???,Kuota,road-bike,2012 Kuota Kebel – 52cm,,- / White / 52cm,,SRAM Force
119071278,1699,3999,BikeExchange,???,Moov8,road-bike,Cargo C1 (Yellow) Demo USED,,One Size / Yellow,,
119030826,995,995,BikeExchange,???,BMC,road-bike,BMC Grand Fondo,,,S/M,Shimano 105
118996343,4490,4490,BikeExchange,???,Giant,road-bike,GIANT Trinity 2018,,,Small,Shimano Ultegra Di2
119034728,2399,2399,BikeExchange,???,Kalkhoff,road-bike,Kalkhoff Endeavour 1.B Move,,XS / Grey,,
118997828,600,600,BikeExchange,???,Reid,road-bike,REID FALCO SPORT (LARGE),,,Large,"Shimano Claris, Tektro"
119030117,900,900,BikeExchange,???,Merida,road-bike,Merida Crossway - medium size,,,Medium,
119046488,3999,8199,BikeExchange,???,Kalkhoff,road-bike,Image 7.B Excite+ Diamant (crystalgrey matt),,"Small / Grey, Medium / Grey",,
118997574,9500,9500,BikeExchange,???,Specialized,road-bike,2022 Turbo Levo Expert (S5) with <500kms ridden,,,L/XL,
115818659,800,800,BikeExchange,???,Wahoo,road-bike,Wahoo Kickr Core,,,,
118454134,190,190,BikeExchange,???,Lake Shoes,road-bike,Lake CX402 Moldable Bike Carbon Shoes Size 48,,,48 Euro,
118158874,350,350,BikeExchange,???,Wilier,road-bike,Wilier Filante SLR Forks,,21105847,,
118984764,2200,2200,BikeExchange,???,Merida,road-bike,Merida Espresso 300 SE EQ,,Medium / Charcoal,,
118584855,0,0,BikeExchange,???,Fast Forward,road-bike,Fast Forward Carbon Disc Track Wheel,,,,
118893017,4999,4999,BikeExchange,???,Specialized,road-bike,Specialized Roubaix Expert 58cm 2020,,Large / Red / 58cm,,Shimano Ultegra
119035025,750,750,BikeExchange,???,Pashley,road-bike,Pashley Princess Sovereign bicycle,,,"20""",
118704420,2995,2995,BikeExchange,???,Pinarello,road-bike,Pinarello F4:13 Rim Brake Carbon Road Bike,,Small / White/Red / 50cm,,Campagnolo Chorus
119046497,8000,8000,BikeExchange,???,Cervelo,road-bike,2020 Cervelo P5 Dura Ace 56 LG,,Large / Other / 56cm,,Shimano Dura Ace Di2
